Frame N BAPnP_Time EPnP_Time EPnPLM_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R EPnPLM_R SQPnP_R CPnP_R BAPnP_t EPnP_t EPnPLM_t SQPnP_t CPnP_t
49 393 0.213222 0.606723 2.15866 0.106143 0.305743 2.71859 3.6689 2.71773 3.14709 2.73792 0.0709748 0.0879086 0.0709588 0.0579934 0.0708454
50 265 0.084223 0.133605 0.833611 0.068821 0.319102 2.18023 2.24203 2.18073 2.2061 2.19536 0.0335477 0.0296478 0.0335366 0.0199853 0.0343735
51 550 0.181708 0.366426 2.1099 0.168408 0.517213 1.14646 1.49501 1.14623 2.03207 1.03617 0.0366139 0.0358943 0.0366141 0.033695 0.0317743
52 501 0.151422 0.300855 1.83092 0.113626 0.506214 1.56437 1.63413 1.56447 1.69634 1.55633 0.0409809 0.0371942 0.0409831 0.0356024 0.04049
53 473 0.288755 0.322115 1.90803 0.165124 0.683782 1.60604 1.52499 1.60604 1.58193 1.61463 0.0432064 0.0393177 0.0432074 0.0419302 0.0433821
54 382 0.133836 0.245611 2.1834 0.151347 0.311677 4.01648 2.84981 4.01617 3.2094 6.81394 0.0949415 0.0710855 0.0949493 0.052952 0.267589
55 398 0.230101 0.345747 2.22372 0.108523 0.320366 1.88864 2.01542 1.88783 2.67261 2.00407 0.0677798 0.0615318 0.0677759 0.0613637 0.0624743
56 459 0.120483 0.257491 1.79317 0.208371 0.68162 2.66798 2.8901 2.66817 2.77882 2.66711 0.0543792 0.0588767 0.0543766 0.0562081 0.0544494
57 352 0.110418 0.195002 1.1944 0.101732 0.265783 2.68717 2.48457 2.68722 2.5579 2.71573 0.0634741 0.0643911 0.0634733 0.0619311 0.0636885
58 333 0.080392 0.13475 1.55667 0.071916 0.290237 2.09776 1.3264 2.09784 2.13405 2.24829 0.0518619 0.0259778 0.0518697 0.0499526 0.0565975
59 372 0.109788 0.172077 1.4534 0.087055 0.266604 1.53118 3.31063 1.52879 4.55807 2.50839 0.0307637 0.065718 0.0307609 0.0707976 0.0402695
60 680 0.133118 0.466556 2.33081 0.09784 0.387293 1.48122 1.48612 1.48099 1.52111 1.64121 0.0158823 0.018227 0.015879 0.0181887 0.0216967
61 509 0.10332 0.196675 1.35561 0.079373 0.31455 1.39069 2.09684 1.3896 1.80947 1.39355 0.0196527 0.0349229 0.0196452 0.0252385 0.0196014
62 608 0.158262 0.205173 1.51508 0.08712 0.357114 1.38087 1.3423 1.3809 0.850323 1.39323 0.0197126 0.0187829 0.0197134 0.0148369 0.0195745
63 660 0.126779 0.247257 1.77586 0.236538 0.572015 0.691234 0.553271 0.691109 0.669145 0.788196 0.018275 0.0224379 0.0182775 0.0186112 0.0179113
64 619 0.123041 0.521373 2.57993 0.130475 0.636144 1.21182 1.25327 1.2118 0.952022 1.21019 0.0228821 0.0255659 0.022884 0.0221014 0.0225919
65 624 0.151465 0.550342 2.77385 0.127067 0.461463 0.926027 1.37381 0.925899 1.05769 0.924866 0.0167182 0.0244679 0.0167185 0.0127252 0.0160648
66 603 0.232858 0.350492 2.18924 0.124885 0.527215 1.39258 1.61063 1.39317 1.17914 1.38403 0.0203111 0.0261208 0.0203209 0.0136719 0.0201491
67 719 0.226576 0.722363 2.68816 0.167536 0.615723 0.277897 0.480036 0.277845 0.388483 0.275532 0.018507 0.0222627 0.0185035 0.0171763 0.0182591
68 697 0.141426 0.36878 2.5255 0.105286 0.50074 0.484774 0.377682 0.484746 0.423604 0.484742 0.0139494 0.0122807 0.0139483 0.0129845 0.0139492
69 781 0.194858 0.394533 2.60652 0.141222 0.577768 1.18208 1.15461 1.18184 1.01884 1.18304 0.0254777 0.0253819 0.0254747 0.0233587 0.0255096
70 757 0.303757 0.388742 2.98824 0.150062 0.720482 1.85994 2.27616 1.85826 1.43627 1.85393 0.0447835 0.0617969 0.0447616 0.0343649 0.035775
71 724 0.175601 0.45362 2.69075 0.142145 0.594198 0.754563 0.783977 0.754524 0.535302 0.747372 0.0189207 0.0209098 0.0189155 0.0153144 0.0182203
72 721 0.212156 0.333995 2.44648 0.12628 0.675131 0.983972 2.10084 0.984281 1.80466 0.981545 0.00534513 0.0303419 0.00533868 0.0213856 0.0077757
73 773 0.160908 0.282083 3.10794 0.161625 0.717766 0.73357 0.817597 0.733625 0.389188 0.732242 0.0257464 0.0277243 0.0257532 0.0107603 0.0261851
74 523 0.163212 0.334955 1.80179 0.219358 0.393956 18.6003 0.890173 2.52728 1.37101 2.77771 0.676404 0.0524852 0.0949642 0.0380836 0.0786978
75 558 0.135449 0.272405 1.4824 0.095204 0.457571 1.81816 2.05198 1.81831 1.87403 1.82747 0.0226796 0.0215648 0.0226727 0.0202106 0.022811
76 545 0.162723 0.277799 1.71395 0.107647 0.517936 2.59129 2.13763 2.59129 1.79044 2.62884 0.0557029 0.0365908 0.0557177 0.0265577 0.0568997
77 350 0.104706 0.154721 0.913017 0.069653 0.208154 2.39957 2.19337 2.39921 2.20998 2.40271 0.0475557 0.0304669 0.0475471 0.0256421 0.0466347
78 436 0.11278 0.171864 1.33245 0.134994 0.354193 1.44543 1.3371 1.44556 1.36684 1.44209 0.0119743 0.0252992 0.01198 0.0191687 0.0111317
79 576 0.122713 0.320146 1.55952 0.085775 0.342541 1.89784 1.9512 1.89803 1.82731 1.90049 0.0231948 0.0265265 0.0231935 0.022618 0.0229369
80 633 0.218712 0.220617 1.56479 0.094849 0.369701 1.16709 0.553331 1.16653 0.891593 1.14781 0.0197081 0.0273617 0.0197069 0.0350393 0.022217
81 719 0.193823 0.236706 2.09118 0.10219 0.415387 17.9923 1.67717 2.52615 1.00441 2.79703 0.963423 0.0416948 0.0554066 0.025415 0.0554349
82 490 0.220074 0.233392 1.49671 0.086904 0.265568 2.26275 1.68585 2.26329 1.34197 2.25696 0.0427149 0.0227187 0.0427392 0.0915617 0.0426649
83 490 0.142863 0.204691 1.31206 0.143491 0.319612 1.13093 3.89319 1.1311 3.17868 3.6318 0.0556927 0.114581 0.0556827 0.108358 0.33724
84 405 0.205528 0.328275 1.70958 0.07491 0.345012 1.70709 0.805494 1.70663 0.616236 1.51618 0.0212271 0.0367558 0.0212271 0.0438002 0.0181772
85 431 0.104358 0.159233 0.920413 0.074827 0.235742 1.78239 1.42173 1.78244 0.789834 1.808 0.0451833 0.0436602 0.0451835 0.0526487 0.0475981
86 578 0.161094 0.295374 1.826 0.088776 0.346548 1.52778 1.97958 1.52749 1.55111 1.51083 0.0480598 0.0570102 0.0480606 0.0560581 0.0486979
87 566 0.133391 0.261696 1.67155 0.091328 0.443029 0.800781 2.77317 0.801639 2.01578 6.86917 0.0163902 0.109581 0.0163978 0.0429809 0.450422
88 648 0.153448 0.218849 1.97707 0.099522 0.385883 1.55572 2.71022 1.55576 2.56789 1.57266 0.0178242 0.0467774 0.0178122 0.0387306 0.0172553
89 737 0.172534 1.03097 3.46223 0.177633 0.835125 0.948093 1.16142 0.948193 1.3476 0.952474 0.0159743 0.0121302 0.0159633 0.0206393 0.0160364
90 607 0.197469 0.273336 1.95913 0.115599 0.436934 1.70574 2.2053 1.70569 1.77271 1.60337 0.0346282 0.0524039 0.0346275 0.0511216 0.0368613
91 595 0.152843 0.283158 1.48217 0.089108 0.360508 1.43043 1.8973 1.43024 1.44724 1.43091 0.0322796 0.0444586 0.0322791 0.0386488 0.0327354
92 730 0.141914 0.240462 1.82346 0.097981 0.413539 0.541115 0.833661 0.540815 0.620178 0.542117 0.0232035 0.0254983 0.023201 0.0253026 0.0235216
93 744 0.249377 0.752154 3.4692 0.205635 0.746323 0.319375 0.433668 0.31945 0.70881 0.324435 0.0106542 0.0132587 0.0106465 0.0177187 0.010494
94 728 0.196126 0.316285 2.56896 0.124554 0.638743 0.516737 0.597767 0.516559 0.527142 0.514981 0.0108064 0.0134332 0.0108049 0.0112671 0.01085
